gene name	Scaled_TPM	group number
ocr-4	0.0012425111976164	1
C08B6.6	0.0012890585498274	1
D2062.13	0.0013045699622873	1
clec-79	0.0013050886450788	1
F36D3.5	0.0013394753317897	1
F46F5.15	0.0013520363591389	1
abf-1	0.0014050337054562	1
M199.134	0.0014064020506401	1
del-4	0.0014123049475865	1
sri-15	0.0014721645536191	1
C32A9.1	0.0014848606710705	1
hlh-10	0.0014949719662243	1
F40H6.1	0.0015176873208465	1
best-11	0.0015253381559621	1
F09F9.3	0.0015670237521114	1
F32D8.8	0.001659845980476	1
ceh-36	0.0017151068018839	1
scl-23	0.0017504383050665	1
srh-78	0.0017955931348863	1
ZC21.6	0.0018790160308248	1
K09C6.8	0.0019060054433675	1
ZK1010.5	0.001925119329316	1
Y51A2B.9	0.0020862864813936	1
T26E3.10	0.0022694468009682	1
gcy-1	0.0024887795862568	1
egl-5	0.002674942698485	1
C18H2.5	0.0028373154312922	1
Y57G11C.41	0.0028526756084748	1
fbxb-17	0.0028655689428644	1
sru-29	0.0028881370044623	1
Y53H1C.3	0.0030148061552665	1
Y73B6BL.47	0.0030567810141477	1
unc-39	0.0030786547075161	1
str-164	0.0031117797666769	1
oac-9	0.0031322968510898	1
twk-3	0.0031329580301991	1
gnrr-6	0.0031989096114205	1
srsx-22	0.0032449454405065	1
H04M03.11	0.0032521255548277	1
F28F9.2	0.0033325839353263	1
srt-29	0.0033619542086888	1
C30F2.5	0.0034099793135759	1
T10G3.4	0.003534497813399	1
clec-119	0.0035609309270509	1
H23L24.1	0.0036317267968522	1
srt-12	0.0036807167933037	1
M195.4	0.0037138177431696	1
K08E3.2	0.0037324883853631	1
srn-1	0.0037880298648004	1
C33C12.12	0.0037940493399038	1
C07A9.13	0.0038408169186761	1
F41D3.11	0.0038757572436757	1
gcy-2	0.0038870725525641	1
nep-5	0.0038931039380552	1
col-164	0.0039563152794204	1
F18G5.1	0.0039563152794204	1
acr-14	0.0039824963609845	1
F42D1.4	0.0041273453723857	1
C42D4.19	0.0041366014713177	1
K10F12.7	0.0041515070906163	1
Y45F10B.8	0.0041731893387838	1
M04C7.4	0.0041959285612765	1
srt-73	0.0042101681878314	1
C55C3.8	0.0042253553368214	1
aqp-5	0.0042284840510899	1
W08F4.1	0.0042333381837389	1
srab-2	0.0042352459180972	1
F49C12.2	0.0043091540024501	1
irld-18	0.0043104199918479	1
R01H2.2	0.0043184304487963	1
F26B1.1	0.0043319266164731	1
Y116F11B.14	0.0043764688128125	1
srsx-38	0.0043768130117346	1
C42D8.9	0.0044521046283112	1
zig-10	0.00446762928939	1
C24D10.49	0.0044981463581659	1
nhr-51	0.004504910526136	1
T06E4.21	0.0045330115172908	1
nhr-165	0.0045333181565284	1
lin-48	0.0045341146732035	1
W04H10.5	0.0045944553375987	1
col-87	0.0047950053712885	1
B0393.7	0.0048130799046893	1
srh-87	0.0049307360297326	1
R04B3.1	0.0049314152195528	1
cdr-3	0.0049353492391034	1
K10C2.2	0.0049411587228175	1
irld-7	0.0049513105593804	1
spe-12	0.0050472082263155	1
F15H10.8	0.005084662026805	1
srh-69	0.0051218886953122	1
srr-2	0.0051496890535085	1
Y38H6C.19	0.005149792226431	1
nhr-186	0.0051499964046782	1
