gene name	Scaled_TPM	group number
W04H10.5	0.0042421581516853	1
C38C6.5	0.0044285586270033	1
ZC190.7	0.0044458038838193	1
srw-16	0.0044552055918351	1
srsx-40	0.0045930368705276	1
cpx-2	0.0046415092446077	1
ins-25	0.0046953356755154	1
clec-119	0.0048096008074981	1
str-125	0.004822223161384	1
xbx-1	0.004920784086955	1
col-135	0.0049617859792803	1
cwp-5	0.0049711964540668	1
C33C12.12	0.0049754722717765	1
ZK1053.2	0.0050327578277939	1
F54F7.3	0.0050694011975816	1
C28F5.1	0.0051139338260385	1
T28F2.1	0.005168162546323	1
irld-7	0.0052387051342922	1
sulp-1	0.0053304455804017	1
srg-13	0.005332860438092	1
str-240	0.0054446558100383	1
ZK1010.5	0.0054840568172428	1
src-2	0.0055080058810618	1
tph-1	0.0057292118330815	1
srd-4	0.0060624383502122	1
math-7	0.0062416971404434	1
F49F1.14	0.0063143805560929	1
C18G1.8	0.0063383278996524	1
H23L24.1	0.0063589680330275	1
srd-5	0.006499969586397	1
ZK666.15	0.0066046143867989	1
C46F4.3	0.0067359838208041	1
Y32B12A.4	0.006761191498749	1
T23G11.10	0.0069765460441631	1
T12A7.7	0.0072897777802649	1
C24A3.1	0.0074760101222379	1
str-148	0.0075608305304343	1
math-23	0.007604518318091	1
nep-6	0.0077201002871099	1
try-4	0.0077411471377017	1
srw-71	0.0077666680933317	1
C01B9.4	0.0078192948983871	1
F21D9.2	0.0078330716841933	1
clec-157	0.007888873260535	1
iglr-1	0.0079099874270089	1
T08G5.1	0.0080238975773559	1
gnrr-6	0.0080373946548774	1
F01E11.17	0.0081076419009745	1
cbn-1	0.0083078092356016	1
bgnt-1.1	0.0083764756922032	1
W02D9.7	0.0083927158725207	1
D1081.10	0.0085216008585334	1
C14A11.2	0.0085297937388542	1
math-8	0.0087981373324776	1
Y116A8A.4	0.0089119585001324	1
oac-27	0.0089526155643455	1
F09E5.12	0.0091835410227728	1
M195.4	0.0092367208260844	1
srw-66	0.0093141931795555	1
F13E9.10	0.0094143917902813	1
F32B5.3	0.0098002849709471	1
F18A12.2	0.0098166957338792	1
R05D3.5	0.0099154235633702	1
Y116A8C.468	0.010034137226651	1
C25G6.1	0.0100547577376551	1
cut-5	0.0100550920256944	1
Y48B6A.10	0.0101194828879674	1
Y82E9BL.6	0.0101200650980951	1
C06B3.16	0.0101967411102093	1
Y40C5A.3	0.0102336890982564	1
F36G9.13	0.0102911693640198	1
T06E4.5	0.0103033753227592	1
srsx-7	0.0105308416176923	1
D1086.17	0.0107889664446656	1
ttr-38	0.0108104063040801	1
kvs-3	0.010814209293853	1
Y62H9A.14	0.0110155610073378	1
Y45F10B.9	0.0110529941155177	1
ostf-4	0.0111829845069005	1
M03A1.8	0.0112480500343016	1
fbxa-27	0.0114529998185322	1
cyp-13A12	0.0114750380063746	1
