Geneid	Mean of Geneid Strains	Standard Deviation of Geneid Strains
WBGene00022269	688.3333;	272.0592;
WBGene00022273	1372.0000;	427.5208;
WBGene00044440	614.3333;	91.0726;
WBGene00000269	1024.6667;	405.4498;
WBGene00022268	1851.3333;	204.3042;
WBGene00022274	43.0000;	48.1456;
WBGene00003111	2076.3333;	1499.9276;
WBGene00022156	2.0000;	1.4142;
WBGene00173142	0.0000;	0.0000;
WBGene00004168	6.6667;	4.7842;
WBGene00044358	24.0000;	3.7417;
WBGene00022157	567.0000;	146.2806;
WBGene00022155	337.6667;	57.2150;
WBGene00022158	201.0000;	76.1446;
WBGene00185098	128.6667;	54.4324;
WBGene00022154	36.0000;	21.4165;
WBGene00044348	7.3333;	6.1283;
WBGene00200707	0.0000;	0.0000;
WBGene00236797	0.3333;	0.4714;
WBGene00220197	0.0000;	0.0000;
WBGene00219767	0.0000;	0.0000;
WBGene00006702	6786.3333;	3820.3784;
WBGene00003080	2437.0000;	1348.2740;
WBGene00022153	2278.6667;	545.5525;
WBGene00022152	1204.3333;	93.0460;
WBGene00006771	2735.3333;	1537.5501;
WBGene00199017	0.0000;	0.0000;
WBGene00003278	0.0000;	0.0000;
WBGene00022159	1246.3333;	596.9262;
WBGene00022150	2339.6667;	302.5275;
WBGene00022149	2686.6667;	654.8538;
WBGene00022148	3351.3333;	1046.2598;
WBGene00022160	170.0000;	123.4936;
WBGene00022161	10.3333;	7.7603;
WBGene00220198	0.0000;	0.0000;
WBGene00022147	0.0000;	0.0000;
WBGene00022146	435.6667;	415.5208;
WBGene00022162	528.0000;	137.9154;
WBGene00022145	36.6667;	15.8605;
WBGene00022144	157.3333;	138.3723;
WBGene00022143	436.3333;	25.3158;
WBGene00044349	2.6667;	2.0548;
WBGene00022142	4.6667;	2.0548;
WBGene00044347	613.3333;	71.0508;
WBGene00219766	0.0000;	0.0000;
WBGene00022141	7101.6667;	2064.4638;
WBGene00022163	512.3333;	139.0859;
WBGene00044746	1141.3333;	634.1179;
