gene name	Scaled_TPM	group number
H12D21.11	0.005677153001687	1
srg-1	0.0057335796544632	1
Y53G8AM.7	0.0057448031969496	1
F29C4.4	0.0057537069186799	1
Y13C8A.1	0.0057956612187747	1
nas-23	0.0057983215213406	1
sdz-13	0.0058072827513813	1
C18D1.2	0.0058119582033661	1
ZK899.7	0.005812624201247	1
F33E2.10	0.0058133074663775	1
F32G8.2	0.0058138967435251	1
sra-3	0.0058197179965933	1
Y51A2A.5	0.0058227514170959	1
ZC132.11	0.0058278299061683	1
C08F1.8	0.0058369177446152	1
C29F9.8	0.0058477967061199	1
C14E2.6	0.0058590373402425	1
T28A11.16	0.0058616792591559	1
H01M10.2	0.0058910593671017	1
T20B12.4	0.0059186131904656	1
R03G8.4	0.0059594740849613	1
srh-20	0.0059688875352892	1
T23F1.5	0.0059693004869969	1
ZC196.8	0.0059770741012414	1
Y7A5A.8	0.0059790662452936	1
pals-8	0.0059825880758949	1
str-150	0.0060442253644958	1
srh-69	0.0060444164909145	1
pax-2	0.0060464968334214	1
tag-138	0.0060471041816361	1
srsx-16	0.0060473945701471	1
ocam-1	0.0060476897172122	1
C32H11.3	0.0060636019486034	1
F54D12.1	0.0060682085698525	1
hpa-2	0.0060881330619392	1
D2062.13	0.0060908632199011	1
unc-8	0.0060957991499103	1
C26B9.2	0.0061058915994016	1
sra-26	0.0061168344279698	1
T13F3.9	0.00612270199217	1
Y38H6C.24	0.0061544492594486	1
bgnt-1.6	0.006162801610633	1
Y45G5AM.4	0.0061679251073119	1
clec-118	0.0061727292299859	1
K08D10.10	0.0061931007666623	1
srv-10	0.006197505633522	1
T27E7.3	0.0062186388767548	1
str-124	0.0062325859505419	1
bath-25	0.00624493521843	1
F17E9.3	0.0062456509042269	1
nas-19	0.0062457094516907	1
Y60A9.1	0.0062573149894503	1
F40G12.6	0.006261857289301	1
F20E11.7	0.0062682232148008	1
K03A11.1	0.0062758206320045	1
sra-25	0.0062827418979407	1
otpl-6	0.0062859232467446	1
sre-13	0.0063014508831342	1
fbxb-69	0.0063067807028109	1
str-196	0.0063604684698125	1
C28G1.2	0.0063741829216708	1
R13H4.7	0.0063887618375204	1
K06B4.3	0.0063896631579194	1
C54F6.18	0.0064138834038253	1
str-166	0.0064285345948032	1
Y82E9BL.6	0.0064406410286911	1
Y23H5B.12	0.0064494804004185	1
srh-211	0.0064632574778643	1
nlp-23	0.006468534922654	1
F49D11.11	0.0064857080023465	1
T24E12.13	0.0064880521046673	1
irld-26	0.0064893675732069	1
W06A11.1	0.0064897099303195	1
ZK177.2	0.0064987656208817	1
ncx-9	0.0065031632959382	1
sru-44	0.0065155377527571	1
clec-114	0.0065202652818313	1
srbc-3	0.0065429352575823	1
nhr-37	0.0065643400364192	1
K05F6.4	0.0065663041409014	1
srab-17	0.0065751475413326	1
